PacketNumber,Timestamp,Temperature,Pressure,AltitudePressure,Humidity,GPSFix,Latitude,Longitude,AltitudeGPS,SpeedKnots,Angle,ax,ay,az,gx,gy,gz,mx,my,mz,Magheading,yaw,roll,pitch,flightStage,RSSI
822,388.8,27.9,947.7,575.0,41,1,50.48249,6.18074,519.7,0.140,128,0.4147,-0.5137,9.6554,-0.7146,-0.5356,1.1484,10.2998,0.1623,-41.8480,339,280,17,-8,1,-58
824,389.7,27.8,947.6,575.8,41,1,50.48248,6.18073,519.7,0.060,128,1.5495,0.0634,9.9136,-0.2328,-0.2664,0.1354,-0.9016,-8.5699,-40.7096,215,328,-3,-16,1,-61
825,390.2,27.4,946.9,582.3,40,1,50.48249,6.18074,519.7,0.080,128,2.0630,-0.0551,10.1085,0.4649,-0.1539,-0.5024,-1.1750,-6.0404,-42.3790,200,331,-1,-21,1,-59
826,390.6,27.8,947.6,576.1,41,1,50.48249,6.18074,519.7,0.080,128,0.9472,-1.3870,9.9923,0.3489,0.3189,-0.2219,0.7135,-2.3673,-42.7740,192,328,0,-15,1,-56
827,391.1,27.1,946.5,585.8,40,1,50.48249,6.18074,519.7,0.080,128,1.6134,0.6167,8.7797,0.6715,0.9426,1.2500,-4.7154,-9.8330,-40.3113,236,343,-17,-5,1,-58
828,391.5,27.5,947.1,580.3,40,1,50.48249,6.18074,519.7,0.100,128,1.3862,1.4023,9.2950,-0.1098,0.1052,-0.1471,-6.4125,-16.3389,-37.0507,256,338,-30,4,1,-57
829,392.0,27.4,947.0,581.5,40,1,50.48249,6.18074,519.7,0.100,128,1.4276,1.1405,10.1226,-0.0236,-0.1716,0.0813,-4.6933,-15.6541,-37.2513,260,335,-25,3,1,-57
830,392.4,27.7,947.4,577.8,40,1,50.48249,6.18073,519.7,0.120,128,0.9803,5.4962,10.9818,-0.8263,1.9312,-1.4510,-15.7092,-17.3719,-34.3703,241,350,-27,9,1,-57
831,392.9,27.1,946.5,585.5,40,1,50.48249,6.18073,519.7,0.120,128,0.3698,1.4023,9.8244,-0.0973,-0.0462,-0.4743,-7.2344,-16.4831,-36.0221,260,344,-23,6,1,-52
832,393.3,27.6,947.2,579.4,40,1,50.48249,6.18073,519.7,0.070,128,1.2276,3.0316,9.2035,0.8676,0.2738,-0.7523,-7.6620,-21.5850,-33.6035,256,343,-31,4,1,-57
833,393.8,27.1,946.4,586.2,40,1,50.48249,6.18073,519.7,0.070,128,-0.8430,0.7660,8.7504,0.7084,0.1306,0.3279,-11.2056,-16.3517,-37.3887,260,2,-22,12,1,-55
834,394.2,27.0,946.3,586.9,40,1,50.48249,6.18072,519.7,0.110,128,2.7895,3.3397,10.7951,-0.6465,-0.2714,-0.8181,-10.9628,-17.7244,-36.2430,241,352,-19,1,1,-57
835,394.6,27.0,946.2,587.8,40,1,50.48249,6.18072,519.7,0.110,128,0.2361,4.3113,9.4007,-0.1440,-0.1552,-0.0668,-12.5226,-19.8057,-33.9087,242,4,-22,1,1,-58
836,395.1,27.0,946.3,587.2,40,1,50.48249,6.18072,519.7,0.110,128,1.0099,3.1252,8.9429,-0.2657,0.1631,-0.1161,-11.0493,-22.0368,-32.6324,240,0,-21,-5,1,-56
837,395.5,27.3,946.8,583.2,40,1,50.48249,6.18072,519.7,0.100,128,1.1933,4.0506,9.6366,-0.0058,-0.1751,0.0363,-12.1814,-23.2347,-30.1683,245,6,-24,-1,1,-55
838,396.0,26.4,945.4,594.8,40,1,50.48249,6.18072,519.7,0.100,128,3.3670,1.6915,9.8385,0.3930,0.4634,-0.4920,-1.9148,-20.4114,-33.2523,243,3,-19,-13,1,-55
839,396.4,27.1,946.5,586.0,41,1,50.48249,6.18073,519.7,0.010,128,2.4239,2.7140,9.3572,0.3839,-0.1180,-0.3629,1.2776,-19.7015,-34.7867,257,3,-22,-9,1,-54
840,396.9,27.1,946.5,585.7,39,1,50.48249,6.18073,519.7,0.010,128,1.4039,0.9556,9.3197,0.3595,0.3648,-0.3085,3.1168,-10.6647,-38.8144,268,350,-7,-3,1,-54
841,397.3,27.3,946.8,583.3,40,1,50.48249,6.18073,519.7,0.050,128,1.2028,0.0420,8.7504,0.0161,0.3344,-0.0466,6.4354,-4.6115,-41.3545,308,350,-8,-6,1,-54
842,397.8,26.8,946.0,590.2,40,1,50.48249,6.18073,519.7,0.050,128,1.1744,-0.6274,9.9641,-0.2504,-0.2967,1.9138,1.5979,-6.0614,-41.4774,318,353,-8,5,1,-54
